time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-02-10T21:11:58.710Z,46.8871667,-112.5201667,13.02,0.97,ml,13,65,0.052,0.18,mb,mb80486994,2021-02-10T22:02:17.640Z,"14 km ESE of Lincoln, Montana",earthquake,0.47,0.61,0.178,5,reviewed,mb,mb
2021-02-10T21:06:04.290Z,44.64,-111.09,0.02,0.62,md,5,193,0.03503,0.17,uu,uu60426497,2021-02-10T23:40:32.450Z,"2 km SSE of West Yellowstone, Montana",earthquake,1.46,31.61,0.654,3,reviewed,uu,uu
2021-02-10T20:56:42.730Z,35.0601667,-118.337,-1.01,1.3,ml,26,56,0.06951,0.15,ci,ci39547991,2021-02-10T23:43:36.393Z,"13km SE of Tehachapi, CA",quarry blast,0.29,31.61,0.102,24,reviewed,ci,ci
2021-02-10T20:56:29.829Z,62.4562,-149.3219,14.3,1.4,ml,,,,0.48,ak,ak0211w59yqu,2021-02-10T20:59:03.588Z,"40 km E of Chase, Alaska",earthquake,,0.3,,,automatic,ak,ak
2021-02-10T20:53:08.006Z,63.8726,-145.6172,9.5,1.8,ml,,,,1.32,ak,ak0211w599x1,2021-02-10T21:03:44.146Z,"7 km SSW of Fort Greely, Alaska",earthquake,,0.1,,,automatic,ak,ak
2021-02-10T20:45:14.819Z,-22.7615,171.0686,10,5.3,mb,,99,8.238,1.43,us,us6000dgde,2021-02-10T21:04:26.040Z,"southeast of the Loyalty Islands",earthquake,9.9,1.9,0.047,155,reviewed,us,us
2021-02-10T20:41:39.873Z,-23.2675,171.7709,10,5.1,mb,,103,8.051,0.98,us,us6000dgdg,2021-02-10T21:21:07.040Z,"southeast of the Loyalty Islands",earthquake,12.6,1.8,0.083,47,reviewed,us,us
2021-02-10T20:41:08.960Z,33.1683333,-116.5146667,15.57,0.8,ml,30,99,0.1115,0.15,ci,ci39547967,2021-02-10T23:11:33.830Z,"13km NE of Julian, CA",earthquake,0.26,0.43,0.115,12,reviewed,ci,ci
2021-02-10T20:35:02.340Z,35.6823333,-117.548,10.53,1.86,ml,25,74,0.1184,0.16,ci,ci39547959,2021-02-10T20:56:37.180Z,"13km ENE of Ridgecrest, CA",earthquake,0.24,0.63,0.152,26,reviewed,ci,ci
2021-02-10T20:33:03.350Z,33.6478333,-116.7146667,14.23,0.5,ml,21,43,0.06317,0.2,ci,ci39547943,2021-02-10T22:00:47.635Z,"10km S of Idyllwild, CA",earthquake,0.44,0.71,0.109,11,reviewed,ci,ci
2021-02-10T20:28:35.370Z,32.8948333,-115.992,6.96,1.39,ml,38,34,0.0208,0.24,ci,ci39547935,2021-02-10T23:01:28.330Z,"18km N of Ocotillo, CA",earthquake,0.26,0.58,0.193,22,reviewed,ci,ci
2021-02-10T20:23:12.470Z,33.1816667,-115.5953333,3.89,1.11,ml,15,77,0.01754,0.17,ci,ci39547927,2021-02-10T22:52:33.050Z,"10km SW of Niland, CA",earthquake,0.31,0.23,0.121,6,reviewed,ci,ci
2021-02-10T20:20:07.200Z,46.0083333,-112.4601667,-2,1.59,ml,9,114,0.067,0.08,mb,mb80486984,2021-02-10T20:36:46.110Z,"5 km E of Butte, Montana",quarry blast,0.62,31.61,0.122,9,reviewed,mb,mb
2021-02-10T20:18:29.314Z,-31.7346,-71.4068,48.67,5.2,mb,,89,0.633,0.95,us,us6000dgd0,2021-02-11T02:03:03.069Z,"25 km WSW of Illapel, Chile",earthquake,5.5,8.9,0.108,28,reviewed,us,us
2021-02-10T20:12:58.120Z,46.653,-122.293166666667,23.6,0.96,ml,19,117,0.1874,0.31,uw,uw61712906,2021-02-10T22:53:36.130Z,"10 km N of Morton, Washington",earthquake,1.05,1.91,0.129731109135828,10,reviewed,uw,uw
2021-02-10T20:10:35.365Z,-23.0829,171.8192,10,4.9,mb,,113,7.896,1.71,us,us6000dgd1,2021-02-10T20:43:44.040Z,"southeast of the Loyalty Islands",earthquake,14.9,1.9,0.117,23,reviewed,us,us
2021-02-10T20:07:56.740Z,44.5986667,-110.9196667,9.95,0.31,md,6,268,0.05475,0.08,uu,uu60426477,2021-02-10T22:27:41.050Z,"16 km ESE of West Yellowstone, Montana",earthquake,0.6,0.72,0.127,5,reviewed,uu,uu
2021-02-10T19:56:15.819Z,-22.7955,171.2397,10,5.3,mb,,60,8.131,1.53,us,us6000dgcx,2021-02-10T20:10:33.040Z,"southeast of the Loyalty Islands",earthquake,10.8,1.9,0.094,38,reviewed,us,us
2021-02-10T19:55:14.610Z,34.9903333,-118.1873333,-0.8,1.25,ml,13,61,0.1163,0.19,ci,ci39547895,2021-02-10T22:47:03.844Z,"7km S of Mojave, CA",quarry blast,0.46,31.61,0.187,16,reviewed,ci,ci
2021-02-10T19:48:44.440Z,47.9926666666667,-122.846833333333,-0.38,1.58,ml,8,249,0.08564,0.35,uw,uw61712876,2021-02-10T22:00:57.540Z,"6 km SW of Port Hadlock-Irondale, Washington",explosion,1.87,31.61,0.100837898393791,6,reviewed,uw,uw
2021-02-10T19:43:27.810Z,44.6028333,-110.9298333,9.84,-0.01,md,6,266,0.0603,0.07,uu,uu60426472,2021-02-10T23:45:13.000Z,"15 km ESE of West Yellowstone, Montana",earthquake,1.28,1.35,0.037,3,reviewed,uu,uu
2021-02-10T19:40:06.480Z,32.7543333,-115.817,9.81,2.14,ml,51,77,0.1215,0.19,ci,ci39547879,2021-02-10T22:43:15.200Z,"17km E of Ocotillo, CA",earthquake,0.19,0.45,0.22,24,reviewed,ci,ci
2021-02-10T19:34:47.370Z,47.3343333333333,-121.989333333333,19.45,1.12,ml,10,129,0.03636,0.12,uw,uw61712871,2021-02-10T19:49:07.160Z,"2 km SSW of Ravensdale, Washington",earthquake,0.51,0.76,0.0618983796500798,3,reviewed,uw,uw
2021-02-10T19:34:44.698Z,61.5689,-149.7558,24.7,2.5,ml,,,,0.62,ak,ak0211w4jugr,2021-02-10T20:34:00.146Z,"7 km SSE of Houston, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2021-02-10T19:23:26.070Z,34.043,-117.2443333,19.6,1.11,ml,34,75,0.06997,0.15,ci,ci39547863,2021-02-10T22:18:52.809Z,"2km ESE of Loma Linda, CA",earthquake,0.25,0.32,0.123,22,reviewed,ci,ci
2021-02-10T19:14:42.800Z,39.4301667,-110.3263333,-1.43,1.32,md,4,154,0.006134,0.02,uu,uu60426467,2021-02-10T23:48:50.170Z,"14 km SSE of Sunnyside, Utah",earthquake,2.11,0.58,0.143,4,reviewed,uu,uu
2021-02-10T19:13:58.639Z,-23.1952,171.9023,10,5.1,mb,,70,10.934,0.91,us,us6000dgcs,2021-02-10T19:52:19.040Z,"southeast of the Loyalty Islands",earthquake,10.6,1.9,0.055,107,reviewed,us,us
2021-02-10T19:09:19.080Z,33.8186667,-117.4891667,-0.66,1.42,ml,37,88,0.03679,0.25,ci,ci39547847,2021-02-10T22:09:14.629Z,"7km SSE of Home Gardens, CA",quarry blast,0.45,31.61,0.336,24,reviewed,ci,ci
2021-02-10T19:08:01.370Z,33.1855,-115.6016667,4.28,0.97,ml,12,89,0.01419,0.18,ci,ci39547839,2021-02-10T22:01:48.653Z,"10km SW of Niland, CA",earthquake,0.33,0.53,0.194,7,reviewed,ci,ci
2021-02-10T19:05:58.590Z,38.8336678,-122.810997,2.03,1,md,24,45,0.01028,0.02,nc,nc73521256,2021-02-10T19:40:05.461Z,"8km W of Cobb, CA",earthquake,0.19,0.41,0.21,4,automatic,nc,nc
2021-02-10T19:00:14.511Z,-23.5763,171.6704,10,5.1,mb,,105,8.327,0.91,us,us6000dgcl,2021-02-10T19:58:03.040Z,"southeast of the Loyalty Islands",earthquake,12.4,1.8,0.1,32,reviewed,us,us
2021-02-10T18:46:26.140Z,38.4785,-112.8578333,-0.26,0.42,md,11,121,0.01182,0.12,uu,uu60426437,2021-02-10T19:57:35.500Z,"16 km NE of Milford, Utah",earthquake,0.34,0.13,0.218,2,reviewed,uu,uu
